qini,baseline,share_users
0.0,0.0,0.0
8.0,2.070734,0.0005
17.0,4.141469,0.001
25.0,6.212203,0.001499
29.333326,8.282938,0.001999
42.333324,10.353672,0.002499
51.333324,12.424407,0.002999
60.666653,14.495141,0.003498
69.66665,16.565876,0.003998
74.99998,18.63661,0.004498
85.99998,20.707344,0.004998
89.99998,22.778078,0.005498
92.333305,24.848814,0.005997
95.66663,26.919548,0.006497
103.66663,28.990282,0.006997
109.66663,31.061016,0.007497
120.66663,33.131752,0.007996
121.999954,35.202484,0.008496
126.999954,37.27322,0.008996
127.33328,39.343956,0.009496
128.66661,41.41469,0.009996
138.66661,43.485424,0.010495
133.33325,45.556156,0.010995
145.33325,47.626892,0.011495
156.33325,49.697628,0.011995
164.33325,51.76836,0.012494
173.33325,53.839096,0.012994
181.33325,55.909832,0.013494
187.33325,57.980564,0.013994
198.33325,60.0513,0.014494
209.33325,62.122032,0.014993
212.33325,64.192764,0.015493
219.33325,66.263504,0.015993
221.66658,68.334236,0.016493
228.66658,70.40497,0.016992
237.66658,72.47571,0.017492
237.99991,74.54644,0.017992
244.99991,76.61717,0.018492
251.99991,78.68791,0.018991
255.33324,80.758644,0.019491
255.66656,82.82938,0.019991
265.66656,84.900116,0.020491
269.99988,86.97085,0.020991
274.33322,89.04158,0.02149
272.66653,91.11231,0.02199
274.99988,93.18305,0.02249
269.6665,95.253784,0.02299
271.99985,97.32452,0.023489
269.33316,99.395256,0.023989
276.33316,101.46599,0.024489
284.33316,103.53672,0.024989
293.33316,105.60746,0.025489
301.33316,107.67819,0.025988
304.33316,109.748924,0.026488
304.6665,111.819664,0.026988
300.99982,113.890396,0.027488
301.33316,115.96113,0.027987
307.33316,118.03186,0.028487
314.33316,120.1026,0.028987
321.33316,122.17333,0.029487
311.33313,124.244064,0.029987
316.33313,126.314804,0.030486
316.66644,128.38554,0.030986
311.3331,130.45627,0.031486
315.3331,132.52701,0.031986
324.3331,134.59773,0.032485
327.3331,136.66847,0.032985
340.3331,138.73921,0.033485
349.3331,140.80994,0.033985
352.3331,142.88068,0.034485
359.3331,144.95142,0.034984
368.3331,147.02214,0.035484
378.3331,149.09288,0.035984
383.3331,151.16362,0.036484
390.3331,153.23434,0.036983
394.3331,155.30508,0.037483
400.3331,157.37582,0.037983
406.3331,159.44655,0.038483
409.66644,161.51729,0.038983
409.99976,163.58803,0.039482
416.99976,165.65875,0.039982
417.33307,167.72949,0.040482
410.99973,169.80023,0.040982
418.99973,171.87096,0.041481
425.99973,173.9417,0.041981
434.99973,176.01244,0.042481
425.99973,178.08316,0.042981
430.33304,180.1539,0.043481
440.33304,182.22464,0.04398
443.66635,184.29536,0.04448
444.9997,186.3661,0.04498
446.9997,188.43683,0.04548
449.333,190.50757,0.045979
458.333,192.57831,0.046479
458.66635,194.64903,0.046979
464.66635,196.71977,0.047479
464.99966,198.79051,0.047979
474.99966,200.86124,0.048478
482.99966,202.93198,0.048978
490.99966,205.00272,0.049478
494.33298,207.07344,0.049978
493.66632,209.14418,0.050477
499.66632,211.21492,0.050977
496.33298,213.28564,0.051477
502.33298,215.35638,0.051977
509.33298,217.42712,0.052476
513.33295,219.49785,0.052976
520.6663,221.56859,0.053476
530.99963,223.63933,0.053976
532.33295,225.71005,0.054476
530.66626,227.78079,0.054975
530.9996,229.85153,0.055475
531.33295,231.92226,0.055975
537.33295,233.993,0.056475
535.66626,236.06374,0.056974
544.66626,238.13446,0.057474
558.66626,240.2052,0.057974
564.9996,242.27592,0.058474
571.9996,244.34666,0.058974
578.9996,246.4174,0.059473
580.3329,248.48813,0.059973
585.3329,250.55887,0.060473
592.3329,252.62961,0.060973
591.6662,254.70033,0.061472
596.6662,256.7711,0.061972
602.6662,258.8418,0.062472
603.9996,260.91254,0.062972
606.9996,262.98328,0.063472
612.9996,265.05402,0.063971
616.9996,267.12476,0.064471
609.6662,269.19547,0.064971
609.9995,271.2662,0.065471
612.9995,273.33694,0.06597
617.9995,275.40768,0.06647
624.9995,277.47842,0.06697
633.9995,279.54916,0.06747
648.9995,281.61987,0.06797
643.6662,283.6906,0.068469
651.6662,285.76135,0.068969
655.6662,287.8321,0.069469
657.9995,289.90283,0.069969
662.9995,291.97357,0.070468
669.9995,294.04428,0.070968
668.3328,296.11502,0.071468
672.3328,298.18576,0.071968
673.9995,300.2565,0.072468
684.9995,302.32724,0.072967
690.9995,304.39798,0.073467
692.3328,306.4687,0.073967
694.66614,308.53943,0.074467
694.99945,310.61017,0.074966
701.99945,312.6809,0.075466
701.33276,314.75165,0.075966
706.33276,316.8224,0.076466
712.33276,318.8931,0.076966
711.66614,320.96384,0.077465
712.99945,323.03458,0.077965
706.6661,325.10532,0.078465
709.6661,327.17606,0.078965
713.6661,329.24677,0.079464
699.6661,331.3175,0.079964
701.9994,333.38824,0.080464
713.9994,335.45898,0.080964
723.9994,337.52972,0.081464
726.3327,339.60046,0.081963
730.3327,341.67117,0.082463
733.6661,343.7419,0.082963
730.9994,345.81265,0.083463
730.3327,347.8834,0.083962
728.666,349.95413,0.084462
738.666,352.02487,0.084962
745.666,354.09558,0.085462
742.9993,356.16632,0.085961
743.3327,358.23706,0.086461
750.3327,360.3078,0.086961
754.3327,362.37854,0.087461
754.9993,364.44928,0.087961
748.9993,366.52,0.08846
734.99927,368.59073,0.08896
737.33264,370.66147,0.08946
736.66595,372.7322,0.08996
737.99927,374.80295,0.090459
739.3326,376.87366,0.090959
747.3326,378.9444,0.091459
745.99927,381.01514,0.091959
749.3326,383.08588,0.092459
752.3326,385.15662,0.092958
749.9992,387.22736,0.093458
754.3325,389.29807,0.093958
760.3325,391.3688,0.094458
759.6659,393.43954,0.094957
768.6659,395.51028,0.095457
774.6659,397.58102,0.095957
773.9992,399.65176,0.096457
779.9992,401.72247,0.096957
772.66583,403.7932,0.097456
764.66583,405.86395,0.097956
769.66583,407.9347,0.098456
778.66583,410.00543,0.098956
778.99915,412.07617,0.099455
784.33246,414.14688,0.099955
789.33246,416.21762,0.100455
794.33246,418.28836,0.100955
789.66583,420.3591,0.101455
793.66583,422.42984,0.101954
790.99915,424.50058,0.102454
795.99915,426.5713,0.102954
802.99915,428.64203,0.103454
805.33246,430.71277,0.103953
802.6658,432.7835,0.104453
806.6658,434.85425,0.104953
814.6658,436.92496,0.105453
821.6658,438.9957,0.105953
819.33246,441.06644,0.106452
827.33246,443.13718,0.106952
834.33246,445.20792,0.107452
843.33246,447.27866,0.107952
843.6658,449.34937,0.108451
847.6658,451.4201,0.108951
855.6658,453.49084,0.109451
858.9991,455.56158,0.109951
862.9991,457.63232,0.110451
865.9991,459.70306,0.11095
867.9991,461.77377,0.11145
878.9991,463.8445,0.11195
883.9991,465.91525,0.11245
886.3324,467.986,0.112949
891.3324,470.05673,0.113449
896.3324,472.12747,0.113949
883.3324,474.19818,0.114449
888.3324,476.26892,0.114949
896.3324,478.33966,0.115448
893.999,480.4104,0.115948
897.999,482.48114,0.116448
897.3324,484.55188,0.116948
907.3324,486.6226,0.117447
901.999,488.69333,0.117947
910.999,490.76407,0.118447
910.33234,492.8348,0.118947
915.33234,494.90555,0.119446
919.33234,496.97626,0.119946
917.66565,499.047,0.120446
926.66565,501.11774,0.120946
934.66565,503.18848,0.121446
934.999,505.25922,0.121945
932.33234,507.32996,0.122445
939.33234,509.40067,0.122945
935.66565,511.4714,0.123445
941.66565,513.5422,0.123944
949.66565,515.61285,0.124444
954.66565,517.6836,0.124944
960.66565,519.75433,0.125444
966.66565,521.8251,0.125944
970.99896,523.8958,0.126443
972.99896,525.96655,0.126943
975.99896,528.0373,0.127443
980.99896,530.10803,0.127943
989.99896,532.1788,0.128442
992.3323,534.2495,0.128942
1000.3323,536.32025,0.129442
1009.3323,538.391,0.129942
1010.66565,540.4617,0.130442
1016.66565,542.5324,0.130941
1022.66565,544.60315,0.131441
1021.99896,546.6739,0.131941
1029.9989,548.7446,0.132441
1035.9989,550.81537,0.13294
1038.9989,552.8861,0.13344
1046.9989,554.95685,0.13394
1051.9989,557.0276,0.13444
1055.9989,559.0983,0.13494
1054.3323,561.16907,0.135439
1055.6656,563.23975,0.135939
1063.6656,565.3105,0.136439
1061.9989,567.3812,0.136939
1067.9989,569.45197,0.137438
1070.9989,571.5227,0.137938
1072.3323,573.59344,0.138438
1076.3323,575.6642,0.138938
1082.3323,577.7349,0.139438
1089.3323,579.80566,0.139937
1092.3323,581.8764,0.140437
1096.3323,583.94714,0.140937
1099.3323,586.0179,0.141437
1109.3323,588.08856,0.141936
1106.6655,590.1593,0.142436
1110.6655,592.23004,0.142936
1114.6655,594.3008,0.143436
1118.6655,596.3715,0.143936
1126.9989,598.44226,0.144435
1126.3323,600.513,0.144935
1133.3323,602.58374,0.145435
1132.6655,604.6545,0.145935
1137.6655,606.7252,0.146434
1141.6655,608.79596,0.146934
1148.6655,610.86664,0.147434
1156.6655,612.9374,0.147934
1159.9989,615.0081,0.148434
1166.3322,617.07886,0.148933
1165.6655,619.1496,0.149433
1171.9989,621.22034,0.149933
1181.9989,623.2911,0.150433
1189.9989,625.3618,0.150932
1194.9989,627.43256,0.151432
1197.9989,629.5033,0.151932
1195.3322,631.57404,0.152432
1204.3322,633.6448,0.152931
1211.3322,635.71545,0.153431
1211.6655,637.7862,0.153931
1213.6655,639.85693,0.154431
1212.9989,641.9277,0.154931
1218.9989,643.9984,0.15543
1227.9989,646.06915,0.15593
1230.9989,648.1399,0.15643
1235.3322,650.21063,0.15693
1247.3322,652.2814,0.157429
1255.3322,654.3521,0.157929
1261.3322,656.42285,0.158429
1261.6655,658.4935,0.158929
1265.6655,660.5643,0.159429
1281.6655,662.635,0.159928
1292.6655,664.70575,0.160428
1299.6655,666.7765,0.160928
1305.6655,668.8472,0.161428
1301.3322,670.91797,0.161927
1310.3322,672.9887,0.162427
1316.3322,675.05945,0.162927
1317.6655,677.1302,0.163427
1312.9988,679.2009,0.163927
1319.9988,681.27167,0.164426
1327.9988,683.34235,0.164926
1335.9988,685.4131,0.165426
1343.9988,687.4838,0.165926
1356.9988,689.55457,0.166425
1363.9988,691.6253,0.166925
1363.3322,693.69604,0.167425
1364.3322,695.7668,0.167925
1358.9988,697.8375,0.168425
1365.9988,699.90826,0.168924
1368.9988,701.979,0.169424
1363.6654,704.04974,0.169924
1369.6654,706.1204,0.170424
1373.6654,708.19116,0.170923
1384.6654,710.2619,0.171423
1394.6654,712.33264,0.171923
1394.9988,714.4034,0.172423
1401.9988,716.4741,0.172923
1407.9988,718.54486,0.173422
1408.9988,720.6156,0.173922
1416.9988,722.68634,0.174422
1418.332,724.7571,0.174922
1425.332,726.8278,0.175421
1435.332,728.89856,0.175921
1435.9988,730.96924,0.176421
1438.332,733.04,0.176921
1443.332,735.1107,0.177421
1449.332,737.18146,0.17792
1451.6654,739.2522,0.17842
1457.6654,741.32294,0.17892
1454.332,743.3937,0.17942
1463.332,745.4644,0.179919
1459.9987,747.53516,0.180419
1465.9987,749.6059,0.180919
1469.332,751.67664,0.181419
1476.332,753.7474,0.181919
1485.332,755.81805,0.182418
1486.6653,757.8888,0.182918
1495.6653,759.95953,0.183418
1502.6653,762.0303,0.183918
1509.6653,764.101,0.184417
1509.9987,766.17175,0.184917
1516.332,768.2425,0.185417
1523.332,770.31323,0.185917
1520.6653,772.384,0.186416
1526.9987,774.4547,0.186916
1533.9987,776.52545,0.187416
1543.9987,778.5961,0.187916
1547.9987,780.6669,0.188416
1558.9987,782.7376,0.188915
1553.6653,784.80835,0.189415
1555.9987,786.8791,0.189915
1567.9987,788.9498,0.190415
1578.9987,791.02057,0.190914
1570.9987,793.0913,0.191414
1572.9987,795.16205,0.191914
1580.9987,797.2328,0.192414
1592.9987,799.3035,0.192914
1593.3319,801.37427,0.193413
1607.3319,803.44495,0.193913
1615.3319,805.5157,0.194413
1623.3319,807.5864,0.194913
1619.6653,809.65717,0.195412
1625.6653,811.7279,0.195912
1629.9985,813.79865,0.196412
1634.9985,815.8694,0.196912
1638.9985,817.9401,0.197412
1638.3319,820.01086,0.197911
1646.3319,822.0816,0.198411
1645.6653,824.15234,0.198911
1648.6653,826.223,0.199411
1657.6653,828.29376,0.19991
1662.6653,830.3645,0.20041
1674.6653,832.43524,0.20091
1676.9985,834.506,0.20141
1686.9985,836.5767,0.20191
1698.9985,838.64746,0.202409
1691.9985,840.7182,0.202909
1697.9985,842.78894,0.203409
1703.9985,844.8597,0.203909
1703.3319,846.9304,0.204408
1702.6652,849.00116,0.204908
1711.6652,851.07184,0.205408
1713.9985,853.1426,0.205908
1713.3318,855.2133,0.206408
1719.6652,857.28406,0.206907
1726.6652,859.3548,0.207407
1733.6652,861.42554,0.207907
1737.9985,863.4963,0.208407
1741.3318,865.567,0.208906
1742.6652,867.63776,0.209406
1750.9984,869.7085,0.209906
1756.3318,871.77924,0.210406
