percentile,n_treat,n_ctrl,resp_treat,resp_ctrl,uplift,min_group
0,361402.0,57986.0,0.003976,0.001983,0.001993,57986.0
1,356988.0,62400.0,0.003703,0.001266,0.002437,62400.0
2,356401.0,62987.0,0.010466,0.007525,0.00294,62987.0
3,355761.0,63626.0,0.001501,0.001163,0.000338,63626.0
4,355942.0,63446.0,0.000778,0.000394,0.000384,63446.0
5,355794.0,63594.0,0.000385,0.000252,0.000133,63594.0
6,355589.0,63798.0,0.000444,0.000204,0.000241,63798.0
7,355739.0,63649.0,0.001777,0.001147,0.00063,63649.0
8,355597.0,63791.0,0.003321,0.002195,0.001127,63791.0
9,355584.0,63804.0,0.004621,0.003291,0.001329,63804.0
